Title,MP3 URL,Image URL,Author,Description
#10 Empathy: What It Is and Why It Matters,https://pdcn.co/e/media.rss.com/billionsofatoms/2023_01_22_13_01_14_52c78bdb-5f6f-414d-8a8d-81c0ecbe8e71.mp3,https://media.rss.com/billionsofatoms/ep_cover_20230123_040108_4e2039d5b40f39aaf83ba211175f3a71.jpg,,"<p>What is empathy? What are the different types of empathy? Why is empathy important? How can we build empathy? These are some of the questions that we will be answering on today's show. Empathy is a critical component of our lives and our relationships. It allows us to understand and connect with others in a way that goes beyond words.</p><p>Web: <a href=""http://billieatoms.com"">billieatoms.com</a></p><p>Shop: <a href=""https://billionsofatoms.org"">https://billionsofatoms.org</a></p>"
#9 Creating Your Own Reality: Unlocking the Power of Perception to Find Happiness,https://pdcn.co/e/media.rss.com/billionsofatoms/2023_01_12_14_04_03_8bbd978b-8687-4ab4-98f5-a134155fb9b7.mp3,https://media.rss.com/billionsofatoms/ep_cover_20230123_040102_470dc8a327fda1600b9ae24d6d43a8d8.jpg,,"<p>The concept of reality has been studied and discussed by philosophers throughout the ages. It is a complex and multi-faceted subject that goes beyond mere physical objects and encompasses many concepts such as the nature of truth, perception, meaning, identity, knowledge, morality, free will, and more. In modern times, these topics are investigated in various disciplines such as psychology, sociology, anthropology, linguistics and computer science as well as philosophy.</p><p>In this episode we explore how changing your reality could be the secret life hack to happiness.</p><p>Web: <a href=""http://billieatoms.com"">billieatoms.com</a></p><p>Shop: <a href=""https://billieatoms.com/shop/"">https://billieatoms.com/shop/</a></p>"
#8 Unlocking the Secrets of Trauma and Its Effects on Human Relationships,https://pdcn.co/e/media.rss.com/billionsofatoms/2023_01_09_14_40_13_01080dca-d83e-4f96-9338-c14d4351599e.mp3,https://media.rss.com/billionsofatoms/ep_cover_20230123_050114_2ea77f754cd14eec7198f04ceec4dd3a.jpg,,"<p>How does trauma impact human connection? In this podcast episode, we'll explore the ways that trauma can affect the way we interact with others. We'll also talk about what we can do to heal from trauma and create more satisfying relationships.</p><p>Web: <a href=""http://billieatoms.com"">billieatoms.com</a></p><p>Shop: <a href=""https://billionsofatoms.org"">https://billionsofatoms.org</a></p>"
#7 Investigating the Science Behind Human Connection & Hatred: Exploring Neural Pathways,https://pdcn.co/e/media.rss.com/billionsofatoms/2023_01_05_18_22_29_acb9ac01-cace-46bd-9e82-959178b17689.mp3,https://media.rss.com/billionsofatoms/ep_cover_20230123_050143_79cd910bafa3b13789cb9ec1e3092ad3.jpg,,"<p>Do you ever stop to wonder why we humans are programmed to connect with certain people, while simultaneously hating and avoiding others? Scientists have long studied the brain’s neural pathways in an attempt to better understand what drives human behavior; from the instinctual sensation of connecting with someone at first glance, to intense hatred for another individual. Today's podcast will explore these phenomena, as we investigate the neuroscience behind our evolutionary circuitry – specifically looking at how neural paths may be responsible for human connection and hatred. Join us on this exploration into understanding what lies deep beneath our conscious brains as we search for answers surrounding humanity’s powerful programming towards one another.</p><p>Web: <a href=""http://billieatoms.com"">billieatoms.com</a> </p><p>Shop: <a href=""https://billionsofatoms.org"">https://billionsofatoms.org</a></p>"
#6 The Harmony Between Yin & Yang: Discovering The Balance Of Taoist & Confucian Ideologies,https://pdcn.co/e/media.rss.com/billionsofatoms/2023_01_02_13_56_28_e713ce03-3194-40ca-851b-f8b5bf405b52.mp3,https://media.rss.com/billionsofatoms/ep_cover_20230123_050136_acc656f2d8c6f13ae94187026af75ea4.jpg,,"<p>Again we start with a personal story and then in this episode I want to explore both Taoism and Confucianism in what will be our last episode on the different religions and how they promote the connection of humanity.</p><p>Web: <a href=""http://billieatoms.com"">billieatoms.com</a> </p><p>Shop: <a href=""https://billionsofatoms.org"">https://billionsofatoms.org</a></p>"
#5 Finding Clarity in Dharma: Uncovering the Truths of Hinduism & Buddhism,https://pdcn.co/e/media.rss.com/billionsofatoms/2023_01_01_16_53_20_cee29d90-1b1f-4bf0-af31-85b5d1f6dc26.mp3,https://media.rss.com/billionsofatoms/ep_cover_20230123_050132_9a1dafcc8182f44bb34a69cb2c8e5532.jpg,,"<p>Starting with a personal journey exploring the experiences of my life I continue my journey of discovery, We explore the beliefs and practices of Dharmic (Brahamic Scripture) religions.</p><p>The purpose of this exploration was three-fold: to demonstrate that there is true spiritual worth within religious teachings, spiritual beliefs have commonality with scientific discovery and to explore why animosity between different denominations is futile.</p><p>Web: billieatoms.com</p><p>Shop: <a href=""https://billionsofatoms.org"">https://billionsofatoms.org</a></p>"
#4 Understanding Prejudice In Society: Examining The Role Of Hatred In Social Interactions,https://pdcn.co/e/media.rss.com/billionsofatoms/2022_12_26_23_20_18_f6b9111c-1754-4bd0-af7f-fe80c6817300.mp3,https://media.rss.com/billionsofatoms/ep_cover_20230123_050116_e9d1afcd104f00738b26b62ea368f8f7.jpg,,"<p>Starting with a very personal story, in this episode, we explore the psychology of Hate. We used research conducted in the article below to provide an understanding of hate and frame our philosophy of connection and how hate destroys connection between us.</p><p>Source of research</p><p>Citations: <a href=""https://journals.sagepub.com/doi/10.1177/1754073917751229"">https://journals.sagepub.com/doi/10.1177/1754073917751229</a></p><p>Web: <a href=""http://billieatoms.com"">billieatoms.com</a> </p><p>Shop: <a href=""https://billionsofatoms.org"">https://billionsofatoms.org</a></p>"
#3 The Murder of Cassius Turvey: Our humble contribution to the discussion,https://pdcn.co/e/media.rss.com/billionsofatoms/2022_11_05_06_24_19_71a90638-bd07-489b-9298-a57b72cc5b10.mp3,https://media.rss.com/billionsofatoms/ep_cover_20230123_050150_298e000c3e01b28ffa4af97b1f929820.jpg,,"<p>Cassius Turvey was murdered on his way home from school. It is alleged the motivation for his murder was racially motivated following some men discovering some minor property damage to some vehicles. The men sought out the perpetrators and happened to encounter Cassius and his friends when they were walking to the shops after just getting off the bus from school.</p><p>This is our small tribute to this boy and we wanted to include in this episode the discussion on the psychology of hate. However, we felt this episode should stand alone as a tribute to Cassius and his family in the hope that we can inspire a deeper level of self-analysis on our own prejudices and how we can change these.</p><p>Our deepest sympathies to the family and friends of Cassius.</p><p>Please donate to the GoFundMe <a href=""https://gofund.me/87dc6f07"">https://gofund.me/87dc6f07</a></p><p>Web: <a href=""https://billieatoms.com/listen-bedtime-stories/"">https://billieatoms.com/listen-bedtime-stories/</a></p>"
#2 Healing Historical Wounds: Exploring the Connections Between Abrahamic Religions,https://pdcn.co/e/media.rss.com/billionsofatoms/2022_10_03_19_12_34_2d0dfa41-58b9-4fcc-b0eb-fd317a4b1106.mp3,https://media.rss.com/billionsofatoms/ep_cover_20230123_050126_75bdeca8e6936e375c01ae2b14d193f6.jpg,,"<p>In Episode 2 we explore the Abrahamic religions. We are interested in some of the history here and also what they say about the start of the universe.</p><p>Web: <a href=""http://billieatoms.com"">billieatoms.com</a> </p>"
#1 Exploring Our Cosmic History: How Did Atoms Form And What Does That Tell Us,https://pdcn.co/e/media.rss.com/billionsofatoms/2022_09_24_04_21_44_592514bd-d58d-43ea-b3bf-a2181e38e74a.mp3,https://media.rss.com/billionsofatoms/ep_cover_20230123_050108_3830050717324c010c1dccfbe4d6d232.jpg,,"<p>In our first episode of the Billions of Atoms Podcast we start with a bang! We think about who and what we are. We discuss the big bang and our place in the universe. Finally we provide you with some of our reflections on living a more connected life.</p><p>Web: <a href=""http://billieatoms.com"">billieatoms.com</a> </p><p>Shop: <a href=""https://billieatoms.com/listen-bedtime-stories/"">billieatoms.com</a> </p>"
